0
17,16
4,6
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0
0,0,0,1,0,0,6,7,1,1,1,1,1,1,0,0,0
0,0,0,1,0,1,2,1,1,1,1,1,1,1,0,0,0
0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0
0,0,0,1,0,5,5,4,1,1,1,1,1,1,0,0,0
0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0
0,0,0,1,0,0,0,4,0,2,6,0,1,1,0,0,0
0,0,0,1,0,0,2,4,1,1,1,1,1,1,0,0,0
0,0,0,1,0,2,2,4,0,1,1,1,1,1,0,0,0
0,0,0,1,0,2,4,4,1,1,1,1,1,1,0,0,0
0,0,0,1,1,0,2,1,1,1,1,1,1,1,0,0,0
0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0
0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4
0:5,6
2:10,10
0:8,11
0:8,13
